"time","symbol","price","float","volume","relative","change","strategy"
"03:11:02  03-13-2020","MOHO","7,46","5.429.320","1.375,7","2,87","5,1","High Momo"
"03:10:57  03-13-2020","FUSB","7,48","5.881.420","1.144,8","4,72","3,9","High Momo"
"03:06:47  03-13-2020","BXC","6,39","9.034.060","1.848,5","6,51","26,3","High Momo"
"03:06:46  03-13-2020","BXC","6,24","9.034.060","1.811,1","6,47","23,3","High Momo"
"03:05:41  03-13-2020","LCNB","13,05","12.450.900","1.040,9","6,42","1,2","High Momo"
"03:04:57  03-13-2020","MOHO","7,45","5.429.320","2.476,2","3,01","5,0","High Momo"
"03:04:42  03-13-2020","CSSE","7,03","3.742.680","1.523,9","5,18","4,5","High Momo"
"03:03:51  03-13-2020","BXC","6,17","9.034.060","3.303,3","5,81","21,9","High Momo"
"03:03:32  03-13-2020","GPX","6,40","12.655.200","1.073,8","12,13","9,0","High Momo"
"03:03:21  03-13-2020","GPX","6,36","12.655.200","1.052,2","12,13","8,3","High Momo"
"03:02:31  03-13-2020","CSSE","7,02","3.742.680","1.021,8","4,79","4,5","High Momo"
"03:02:15  03-13-2020","GPX","6,33","12.655.200","1.113,4","12,55","7,8","High Momo"
"03:01:30  03-13-2020","BXC","6,11","9.034.060","1.177,2","2,89","20,7","High Momo"
"03:01:08  03-13-2020","ISDR","9,75","2.926.380","1.662,1","4,05","5,4","High Momo"
"03:01:06  03-13-2020","CREX","1,60","8.832.040","46.660,0","3,50","34,3","High Momo"
"03:01:06  03-13-2020","CREX","1,59","8.832.040","45.850,6","3,44","33,4","High Momo"
"03:00:49  03-13-2020","MOHO","7,41","5.429.320","1.416,9","2,94","4,4","High Momo"
"03:00:25  03-13-2020","SKYS","1,66","15.172.900","3.573,8","2,20","3,8","High Momo"
"02:59:57  03-13-2020","SKYS","1,65","15.172.900","2.495,8","2,04","3,1","High Momo"
"02:59:46  03-13-2020","SKYS","1,64","15.172.900","2.393,1","2,04","2,5","High Momo"
"02:59:23  03-13-2020","TFFP","4,18","11.666.700","1.461,8","2,94","4,5","High Momo"
"02:58:58  03-13-2020","CREX","1,50","8.832.040","19.580,3","1,65","25,9","High Momo"
"02:58:50  03-13-2020","TFFP","4,05","11.666.700","1.413,6","2,94","1,3","High Momo"
"02:58:17  03-13-2020","BYFC","1,39","18.004.900","2.640,2","3,21","3,0","High Momo"
"02:50:59  03-13-2020","SNDE","2,97","6.842.760","1.246,5","3,46","56,3","High Momo"
"02:50:34  03-13-2020","HHS","2,71","5.649.770","4.180,4","3,69","6,7","High Momo"
"02:47:56  03-13-2020","VERY","12,59","1.841.230","2.096,9","1,77","9,5","High Momo"
"02:47:29  03-13-2020","MOHO","7,35","5.429.320","2.751,3","2,19","3,6","High Momo"
"02:46:11  03-13-2020","LCUT","5,45","12.444.700","1.015,9","6,69","8,3","High Momo"
"02:45:01  03-13-2020","LCUT","5,36","12.444.700","1.211,1","6,03","6,6","High Momo"
"02:44:04  03-13-2020","MOHO","7,32","5.429.320","2.201,1","1,68","3,2","High Momo"
"02:43:49  03-13-2020","LCUT","5,34","12.444.700","1.053,6","5,52","6,2","High Momo"
"02:43:01  03-13-2020","NAOV","2,62","4.362.890","3.018,7","4,67","16,4","High Momo"
"02:42:32  03-13-2020","NAOV","2,36","4.362.890","1.253,6","2,02","4,9","High Momo"
"02:42:01  03-13-2020","NNA","4,55","13.124.300","1.300,8","9,89","38,3","High Momo"
